Date,AveragePrice,Delta,TotalVolume,sales_delta
2015-01-04,0.93,,5777334.9,
2015-01-11,0.92,-0.010752688172043001,6024932.34,0.04285668812448451
2015-01-18,1.02,0.10869565217391308,5570915.26,-0.07535637819295415
2015-01-25,1.06,0.03921568627450989,4929884.26,-0.11506744764234667
2015-02-01,0.85,-0.19811320754716988,9032180.67,0.8321283408791427
2015-02-08,0.91,0.07058823529411762,5871224.58,-0.34996599442468856
2015-02-15,0.96,0.05494505494505497,5699944.93,-0.02917273009509036
2015-02-22,0.96,0.0,5951871.32,0.04419803929579369
2015-03-01,0.84,-0.125,6700134.25,0.12571893607404117
2015-03-08,0.96,0.1428571428571428,5990243.89,-0.10595166208796492
2015-03-15,1.06,0.10416666666666674,5557163.11,-0.07229768736511322
2015-03-22,1.06,0.0,5571812.77,0.0026361759966406773
2015-03-29,1.1,0.037735849056603765,5341821.67,-0.04127760739526787
2015-04-05,1.12,0.0181818181818183,5467155.55,0.023462760036315533
2015-04-12,1.06,-0.0535714285714286,5636644.51,0.031001305605800722
2015-04-19,1.05,-0.009433962264150941,5871080.81,0.04159146449347384
2015-04-26,1.15,0.09523809523809512,4923565.04,-0.16138694061000325
2015-05-03,0.88,-0.23478260869565215,8567534.49,0.7401079137567359
2015-05-10,0.93,0.05681818181818188,6650357.96,-0.22377225702887138
2015-05-17,1.08,0.16129032258064524,5289138.5,-0.20468363781127952
2015-05-24,1.1,0.0185185185185186,5621713.64,0.06287888660884944
2015-05-31,0.98,-0.10909090909090913,6236903.31,0.10943098659859873
2015-06-07,0.98,0.0,6374842.9,0.022116679246707793
2015-06-14,0.97,-0.010204081632653073,6741662.31,0.05754171761628801
2015-06-21,1.07,0.10309278350515472,5952597.29,-0.11704309467259566
2015-06-28,1.1,0.028037383177570208,5641742.02,-0.05222178737376004
2015-07-05,1.12,0.0181818181818183,6718011.83,0.1907690578875496
2015-07-12,1.13,0.008928571428571175,5451636.92,-0.1885044179804608
2015-07-19,1.18,0.04424778761061954,5225200.52,-0.041535488023659584
2015-07-26,1.13,-0.0423728813559322,5557616.27,0.06361779777209398
2015-08-02,1.16,0.026548672566371723,5428238.87,-0.02327929704293874
2015-08-09,1.1,-0.051724137931034364,6232081.27,0.14808530340154302
2015-08-16,1.11,0.009090909090909038,5616434.08,-0.09878677175851391
2015-08-23,1.18,0.06306306306306286,5193221.0,-0.07535263015140736
2015-08-30,1.08,-0.08474576271186429,5647385.15,0.0874532684050997
2015-09-06,1.09,0.0092592592592593,5806392.78,0.028155974097144654
2015-09-13,1.13,0.0366972477064218,5106508.12,-0.12053691276462353
2015-09-20,1.14,0.008849557522123908,4759791.13,-0.06789707993257832
2015-09-27,1.04,-0.08771929824561397,5216784.63,0.0960112508130162
