,mean_test_MeanAbsolutePercentageError,mean_fit_time,mean_pred_time,params,rank_test_MeanAbsolutePercentageError
0,0.07898667486841968,0.03190028869771752,0.005260139238089323,"{'order': (1, 0, 1)}",30.0
1,0.06651946943214608,0.0338038247688834,0.005202007206991829,"{'order': (1, 1, 1)}",8.0
2,0.08095624307159618,0.047692988581698514,0.008135206949222705,"{'order': (1, 0, 2)}",32.0
3,0.06596742603417859,0.052454820416610815,0.006035698256615935,"{'order': (1, 1, 2)}",7.0
4,0.07562289866749888,0.03776886211387042,0.005508301747513229,"{'order': (1, 0, 3)}",25.0
5,0.06828279659376635,0.04089504451458824,0.006132326169132158,"{'order': (1, 1, 3)}",12.0
6,0.0776357142389429,0.0562961437129255,0.008942199870944023,"{'order': (1, 0, 4)}",26.0
7,0.06892175193007492,0.0702294525369231,0.009511814581166053,"{'order': (1, 1, 4)}",15.0
8,0.08709215919542329,0.04707898130511929,0.008074593377010575,"{'order': (1, 0, 5)}",35.0
9,0.06887168539524594,0.08254627441858937,0.007573035931022003,"{'order': (1, 1, 5)}",14.0
10,0.07950138445787286,0.03222192377494327,0.009458334699016193,"{'order': (2, 0, 1)}",31.0
11,0.06340003744221118,0.03407930154032234,0.00864600847828491,"{'order': (2, 1, 1)}",3.0
12,0.12552941942521195,0.05485815376621382,0.007729886388727303,"{'order': (2, 0, 2)}",42.0
13,0.0665473557009588,0.03680477302585696,0.008120169670417392,"{'order': (2, 1, 2)}",9.0
14,0.07332027200591287,0.06274051580513859,0.008955590699895703,"{'order': (2, 0, 3)}",20.0
15,0.06764869152872853,0.04776696984431353,0.00723103727695757,"{'order': (2, 1, 3)}",11.0
16,0.0785661951091044,0.0690335962471777,0.008676508618197564,"{'order': (2, 0, 4)}",29.0
17,0.0665639453131911,0.0659740963822295,0.008658030118536332,"{'order': (2, 1, 4)}",10.0
18,0.08833808765483404,0.11552481319562628,0.012520767346923721,"{'order': (2, 0, 5)}",36.0
19,0.0699780686110009,0.16663082907425947,0.010343653727965108,"{'order': (2, 1, 5)}",18.0
20,0.07450098400978394,0.0329651493450691,0.0071334653244964005,"{'order': (3, 0, 1)}",24.0
21,0.06562687162526115,0.04860687342568718,0.008227722751426286,"{'order': (3, 1, 1)}",6.0
22,0.20672431560437834,0.10602658046088342,0.01056113357430902,"{'order': (3, 0, 2)}",46.0
23,0.15135609961242927,0.08780074996295674,0.01116932181898376,"{'order': (3, 1, 2)}",44.0
24,0.07209828761504947,0.11739158484249793,0.011191079087940783,"{'order': (3, 0, 3)}",19.0
25,0.06965973552220352,0.12431492950317674,0.01504400862252404,"{'order': (3, 1, 3)}",17.0
26,0.1578074895753562,0.16802441380147276,0.012036420982973329,"{'order': (3, 0, 4)}",45.0
27,0.06287444206575946,0.1406654123987617,0.010238994057450828,"{'order': (3, 1, 4)}",1.0
28,0.09491748366061996,0.1413278204292573,0.01032872551024474,"{'order': (3, 0, 5)}",38.0
29,0.0684936683092011,0.2063632600876535,0.014018532916389662,"{'order': (3, 1, 5)}",13.0
30,0.07809505718223701,0.052870991414990916,0.011499244238025156,"{'order': (4, 0, 1)}",28.0
31,0.0632535312163825,0.04846820249703938,0.010283538814762542,"{'order': (4, 1, 1)}",2.0
32,0.24695986903945233,0.12982458777019176,0.01372994400625085,"{'order': (4, 0, 2)}",48.0
33,1.2780702491939169,0.11940995393449376,0.008097581918640384,"{'order': (4, 1, 2)}",49.0
34,0.09081790538109746,0.11934567234832151,0.009547281657056561,"{'order': (4, 0, 3)}",37.0
35,0.07437668139918859,0.1528365674492871,0.009695945564528992,"{'order': (4, 1, 3)}",23.0
36,0.12221240121000983,0.16720033040398669,0.012380405248881414,"{'order': (4, 0, 4)}",41.0
37,0.069136190177542,0.14989462215453386,0.011746349182493728,"{'order': (4, 1, 4)}",16.0
38,0.09714423920175543,0.18311026303804126,0.011373606285658377,"{'order': (4, 0, 5)}",39.0
39,0.08637468668931685,0.24025298141199966,0.011417211161862159,"{'order': (4, 1, 5)}",34.0
40,0.07356642275230663,0.07281498559590044,0.013279343345041933,"{'order': (5, 0, 1)}",22.0
41,0.06381346977046694,0.056875310468904934,0.009012563298616943,"{'order': (5, 1, 1)}",5.0
42,0.11796383245268781,0.13205338365815836,0.008726528717269158,"{'order': (5, 0, 2)}",40.0
43,1.6499484588702324,0.13446529741109958,0.008196668121321448,"{'order': (5, 1, 2)}",50.0
44,0.0734303067353529,0.15201122845234027,0.008640353375210845,"{'order': (5, 0, 3)}",21.0
45,0.06345525699072627,0.17342802726438847,0.009176330560625627,"{'order': (5, 1, 3)}",4.0
46,0.20873335712713617,0.1852483162014135,0.007920030311777675,"{'order': (5, 0, 4)}",47.0
47,0.07788848776510926,0.18916462064752804,0.007321708402114695,"{'order': (5, 1, 4)}",27.0
48,0.13949307418288132,0.18035846105616155,0.00613684059473975,"{'order': (5, 0, 5)}",43.0
49,0.08553964442515362,0.18052772418114132,0.006415965565448177,"{'order': (5, 1, 5)}",33.0
